"3-CUP-AP-88","3-001-02-1-23","東千田 総合校舎B 2F B217前廊下(B274)"
"3-CUP-WAP-26","3-007-02-1-05","東千田 未来創生センター 2F 講義室(M204)-1"
"3-CUP-WAP-27","3-007-02-1-05","東千田 未来創生センター 2F 端末室(205-2)"
"3-CUP-WAP-28","3-007-02-1-05","東千田 未来創生センター 2F グループワーク室(M205-1)-2"
"3-CUP-WAP-29","3-007-02-1-05","東千田 未来創生センター 2F グループワーク室(M205-1)-3"
"3-CUP-WAP-3","3-005-01-1-38","東千田 総合校舎S 1F 図書室1(S101)-1"
"3-CUP-WAP-30","3-007-03-1-05","東千田 未来創生センター 3F 講義室(M301)-1"
"3-CUP-WAP-31","3-007-03-1-05","東千田 未来創生センター 3F 講義室(M302)"
"3-CUP-WAP-32","3-007-03-1-05","東千田 未来創生センター 3F プロジェクトルーム3-2(M310)"
"3-CUP-WAP-33","3-007-03-1-05","東千田 未来創生センター 3F 演習室1(M307)"
"3-CUP-WAP-34","3-007-03-1-05","東千田 未来創生センター 3F 講義室(M303)-1"
"3-CUP-WAP-35","3-007-03-1-05","東千田 未来創生センター 3F 講義室(M304)-1"
"3-CUP-WAP-36","3-007-03-1-05","東千田 未来創生センター 3F 講義室(M304)-2"
"3-CUP-WAP-37","3-007-04-1-05","東千田 未来創生センター 4F プロジェクトルーム4-2(M411)"
"3-CUP-WAP-38","3-007-04-1-05","東千田 未来創生センター 4F プロジェクトルーム4-5(M414)"
"3-CUP-WAP-39","3-007-04-1-05","東千田 未来創生センター 4F ミーティングルーム4-2(M407)"
"3-CUP-WAP-4","3-003-02-1-20","東千田 総合校舎C 3F 院生計算機室(C304)"
"3-CUP-WAP-40","3-007-04-1-05","東千田 未来創生センター 4F ミーティングルーム4-5(M404)"
"3-CUP-WAP-41","3-007-04-1-05","東千田 未来創生センター 4F 講義室(M401)-1"
"3-CUP-WAP-42","3-007-04-1-05","東千田 未来創生センター 4F 講義室(M402)-1"
"3-CUP-WAP-43","3-007-04-1-05","東千田 未来創生センター 4F 講義室(M402)-2"
"3-CUP-WAP-44","3-002-02-1-53","東千田 総合校舎A 3F 大会議室(A302)-3"
"3-CUP-WAP-46","3-002-02-1-53","東千田 総合校舎A 3F 中会議室(A304)-1"
"3-CUP-WAP-47","3-002-02-1-53","東千田 総合校舎A 3F 中会議室(A304)-2"
"3-CUP-WAP-48","3-002-02-1-53","東千田 総合校舎A 3F 実務法学専攻長室(A305)"
"3-CUP-WAP-49","3-002-02-1-53","東千田 総合校舎A 4F 講義室(402)-3"
"3-CUP-WAP-5","3-005-01-1-27","東千田 総合校舎S 1F 玄関ホール(S174)"
"3-CUP-WAP-50","3-002-02-1-53","東千田 総合校舎A 4F 講義室(403)"
"3-CUP-WAP-51","3-002-02-1-53","東千田 総合校舎A 4F 講義室(404)-1"
"3-CUP-WAP-52","3-002-02-1-53","東千田 総合校舎A 4F 講義室(404)-2"
"3-CUP-WAP-53","3-002-02-1-53","東千田 総合校舎A 4F 第6演習室(405)"
"3-CUP-WAP-54","3-002-02-1-53","東千田 総合校舎A 5F 多目的室(501)-4"
"3-CUP-WAP-56","3-002-02-1-53","東千田 総合校舎A 5F 第7演習室(503)"
"3-CUP-WAP-57","3-005-02-1-53","東千田 総合校舎S 2F 第1演習室(S201)"
"3-CUP-WAP-58","3-005-02-1-53","東千田 総合校舎S 2F 第2演習室(S202)"
"3-CUP-WAP-59","3-005-02-1-53","東千田 総合校舎S 2F 第3演習室(S203)"
"3-CUP-WAP-6","3-005-01-1-27","東千田 総合校舎S 1F 図書館事務室(S104)"
"3-CUP-WAP-60","3-005-02-1-53","東千田 総合校舎S 2F 第4演習室(S204)-1"
"3-CUP-WAP-61","3-005-02-1-53","東千田 総合校舎S 2F 第4演習室(S204)-2"
"3-CUP-WAP-62","3-005-02-1-53","東千田 総合校舎S 2F 書庫西側(S205)"
"3-CUP-WAP-66","3-005-02-1-53","東千田 総合校舎S 2F 講義室(S207)-2"
"3-CUP-WAP-67","3-005-02-1-53","東千田 総合校舎S 2F 相談室(S227)"
"3-CUP-WAP-68","3-005-02-1-53","東千田 総合校舎S 2F 学部長室(S208)"
"3-CUP-WAP-69","3-005-02-1-53","東千田 総合校舎S 2F 第9演習室(S216)"
"3-CUP-WAP-7","3-005-01-1-27","東千田 総合校舎S 1F 図書室検索コーナー(S102)-1"
"3-CUP-WAP-70","3-007-02-1-18","東千田 未来創生センター 2F 講義室(M201)-2"
"3-CUP-WAP-71","3-007-02-1-18","東千田 未来創生センター 2F 講義室(M202)-2"
"3-CUP-WAP-72","3-007-02-1-18","東千田 未来創生センター 2F 講義室(M203)-2"
"3-CUP-WAP-73","3-007-02-1-18","東千田 未来創生センター 2F 講義室(M204)-2"
"3-CUP-WAP-74","3-007-02-1-20","東千田 未来創生センター 2F グループワーク室(M205-1)-1"
"3-CUP-WAP-75","3-007-03-1-19","東千田 未来創生センター 3F 講義室(M301)-2"
"3-CUP-WAP-77","3-007-03-1-19","東千田 未来創生センター 3F 講義室(M303)-2"
"3-CUP-WAP-78","3-007-03-1-19","東千田 未来創生センター 3F 講義室(M304)-3"
"3-CUP-WAP-8","3-005-01-1-27","東千田 総合校舎S 1F 図書室ラウンジ(S102)-2"
"3-CUP-WAP-81","3-007-04-1-22","東千田 未来創生センター 4F 講義室(M401)-2"
"3-CUP-WAP-82","3-007-04-1-22","東千田 未来創生センター 4F 講義室(M401)-3"
"3-CUP-WAP-84","3-007-04-1-22","東千田 未来創生センター 4F 講義室(M402)-3"
"3-CUP-WAP-85","3-007-04-1-22","東千田 未来創生センター 4F 講義室(M402)-4"
"3-CUP-WAP-87","3-003-02-1-24","東千田 総合校舎C 3F 経済学プログラム院生室(C305)"
"3-CUP-WAP-9","3-005-01-1-48","東千田 総合校舎S 1F 図書室閲覧室東側(S101)"
"3-CUP-WAP-94","3-008-01-1-23","東千田 総合校舎L 1F ラウンジ(174)"
"3-CUP-WAP-95","3-008-01-1-24","東千田 総合校舎L 1F 食堂(L101)"
"3-CUP-WAP-96","3-008-02-1-24","東千田 総合校舎L 2F 学生室1(L202)"
"3-CUP-WAP-97","3-008-02-1-24","東千田 総合校舎L 2F 学生室3(L204)"
"3-CUP-WAP-98","3-008-02-1-24","東千田 総合校舎L 2F 学生室5(L206)"
"3-CUP-WAP-99","3-008-02-1-24","東千田 総合校舎L 2F 学生室6(L207)"
